filename,file_attributes
1-(0.0).png,2
1-(0.1).png,2
1-(0.2).png,2
1-(0.3).png,2
1-(0.4).png,2
1-(0.5).png,2
1-(0.6).png,2
1-(0.7).png,2
1-(0.8).png,2
1-(1.0).png,2
1-(1.1).png,3
1-(1.2).png,3
1-(1.3).png,1
1-(1.4).png,3
1-(1.5).png,1
1-(1.6).png,2
1-(1.7).png,1
1-(1.8).png,2
1-(2.0).png,2
1-(2.1).png,1
1-(2.2).png,3
1-(2.3).png,1
1-(2.4).png,1
1-(2.5).png,1
1-(2.6).png,1
1-(2.7).png,3
1-(2.8).png,2
1-(3.0).png,2
1-(3.1).png,3
1-(3.2).png,1
1-(3.3).png,3
1-(3.4).png,3
1-(3.5).png,1
1-(3.6).png,1
1-(3.7).png,1
1-(3.8).png,2
1-(4.0).png,2
1-(4.1).png,3
1-(4.2).png,1
1-(4.3).png,2
1-(4.4).png,1
1-(4.5).png,1
1-(4.6).png,1
1-(4.7).png,1
1-(4.8).png,2
1-(5.0).png,2
1-(5.1).png,3
1-(5.2).png,3
1-(5.3).png,3
1-(5.4).png,2
1-(5.5).png,1
1-(5.6).png,2
1-(5.7).png,3
1-(5.8).png,1
1-(6.0).png,2
1-(6.1).png,1
1-(6.2).png,3
1-(6.3).png,1
1-(6.4).png,2
1-(6.5).png,1
1-(6.6).png,1
1-(6.7).png,2
1-(6.8).png,1
1-(7.0).png,2
1-(7.1).png,1
1-(7.2).png,1
1-(7.3).png,2
1-(7.4).png,1
1-(7.5).png,1
1-(7.6).png,1
1-(7.7).png,1
1-(7.8).png,2
1-(8.0).png,2
1-(8.1).png,2
1-(8.2).png,2
1-(8.3).png,1
1-(8.4).png,2
1-(8.5).png,2
1-(8.6).png,2
1-(8.7).png,2
1-(8.8).png,2
2-(0.0).png,2
2-(0.1).png,2
2-(0.2).png,2
2-(0.3).png,2
2-(0.4).png,2
2-(0.5).png,2
2-(0.6).png,2
2-(0.7).png,2
2-(0.8).png,2
2-(1.0).png,2
2-(1.1).png,1
2-(1.2).png,1
2-(1.3).png,3
2-(1.4).png,3
2-(1.5).png,3
2-(1.6).png,1
2-(1.7).png,3
2-(1.8).png,2
2-(2.0).png,2
2-(2.1).png,1
2-(2.2).png,3
2-(2.3).png,2
2-(2.4).png,1
2-(2.5).png,1
2-(2.6).png,3
2-(2.7).png,3
2-(2.8).png,2
2-(3.0).png,2
2-(3.1).png,1
2-(3.2).png,1
2-(3.3).png,2
2-(3.4).png,3
2-(3.5).png,3
2-(3.6).png,1
2-(3.7).png,1
2-(3.8).png,2
2-(4.0).png,2
2-(4.1).png,1
2-(4.2).png,2
2-(4.3).png,3
2-(4.4).png,1
2-(4.5).png,3
2-(4.6).png,1
2-(4.7).png,3
2-(4.8).png,2
2-(5.0).png,2
2-(5.1).png,1
2-(5.2).png,1
2-(5.3).png,1
2-(5.4).png,1
2-(5.5).png,1
2-(5.6).png,1
2-(5.7).png,1
2-(5.8).png,2
2-(6.0).png,2
2-(6.1).png,1
2-(6.2).png,1
2-(6.3).png,2
2-(6.4).png,1
2-(6.5).png,1
2-(6.6).png,1
2-(6.7).png,2
2-(6.8).png,2
2-(7.0).png,2
2-(7.1).png,1
2-(7.2).png,2
2-(7.3).png,3
2-(7.4).png,1
2-(7.5).png,1
2-(7.6).png,3
2-(7.7).png,1
2-(7.8).png,2
2-(8.0).png,2
2-(8.1).png,2
2-(8.2).png,1
2-(8.3).png,1
2-(8.4).png,2
2-(8.5).png,2
2-(8.6).png,2
2-(8.7).png,2
2-(8.8).png,2
3-(0.0).png,2
3-(0.1).png,2
3-(0.2).png,2
3-(0.3).png,2
3-(0.4).png,2
3-(0.5).png,2
3-(0.6).png,2
3-(0.7).png,2
3-(0.8).png,2
3-(1.0).png,2
3-(1.1).png,3
3-(1.2).png,3
3-(1.3).png,1
3-(1.4).png,3
3-(1.5).png,1
3-(1.6).png,2
3-(1.7).png,1
3-(1.8).png,2
3-(2.0).png,2
3-(2.1).png,1
3-(2.2).png,3
3-(2.3).png,1
3-(2.4).png,1
3-(2.5).png,1
3-(2.6).png,1
3-(2.7).png,3
3-(2.8).png,2
3-(3.0).png,2
3-(3.1).png,3
3-(3.2).png,1
3-(3.3).png,3
3-(3.4).png,3
3-(3.5).png,1
3-(3.6).png,1
3-(3.7).png,1
3-(3.8).png,2
3-(4.0).png,2
3-(4.1).png,3
3-(4.2).png,1
3-(4.3).png,3
3-(4.4).png,1
3-(4.5).png,1
3-(4.6).png,1
3-(4.7).png,1
3-(4.8).png,2
3-(5.0).png,2
3-(5.1).png,3
3-(5.2).png,2
3-(5.3).png,2
3-(5.4).png,3
3-(5.5).png,1
3-(5.6).png,2
3-(5.7).png,3
3-(5.8).png,1
3-(6.0).png,2
3-(6.1).png,1
3-(6.2).png,3
3-(6.3).png,1
3-(6.4).png,2
3-(6.5).png,1
3-(6.6).png,1
3-(6.7).png,2
3-(6.8).png,1
3-(7.0).png,2
3-(7.1).png,1
3-(7.2).png,1
3-(7.3).png,1
3-(7.4).png,1
3-(7.5).png,1
3-(7.6).png,1
3-(7.7).png,1
3-(7.8).png,2
3-(8.0).png,2
3-(8.1).png,2
3-(8.2).png,2
3-(8.3).png,2
3-(8.4).png,2
3-(8.5).png,2
3-(8.6).png,2
3-(8.7).png,2
3-(8.8).png,2
