filename,file_attributes
5-(8.8).png,2
5-(8.7).png,2
5-(8.6).png,2
5-(8.5).png,2
5-(8.4).png,2
5-(8.3).png,2
5-(8.2).png,2
5-(8.1).png,2
5-(8.0).png,2
5-(7.8).png,2
5-(7.7).png,1
5-(7.6).png,1
5-(7.5).png,2
5-(7.4).png,2
5-(7.3).png,3
5-(7.2).png,3
5-(7.1).png,3
5-(7.0).png,2
5-(6.8).png,2
5-(6.7).png,1
5-(6.6).png,3
5-(6.5).png,3
5-(6.4).png,3
5-(6.3).png,2
5-(6.2).png,3
5-(6.1).png,3
5-(6.0).png,2
5-(5.8).png,2
5-(5.7).png,2
5-(5.6).png,3
5-(5.5).png,1
5-(5.4).png,3
5-(5.3).png,3
5-(5.2).png,2
5-(5.1).png,1
5-(5.0).png,2
5-(4.8).png,2
5-(4.7).png,3
5-(4.6).png,1
5-(4.5).png,1
5-(4.4).png,3
5-(4.3).png,3
5-(4.2).png,2
5-(4.1).png,1
5-(4.0).png,2
5-(3.8).png,2
5-(3.7).png,2
5-(3.6).png,1
5-(3.5).png,3
5-(3.4).png,3
5-(3.3).png,1
5-(3.2).png,3
5-(3.1).png,1
5-(3.0).png,2
5-(2.8).png,2
5-(2.7).png,1
5-(2.6).png,2
5-(2.5).png,1
5-(2.4).png,3
5-(2.3).png,3
5-(2.2).png,3
5-(2.1).png,1
5-(2.0).png,2
5-(1.8).png,2
5-(1.7).png,2
5-(1.6).png,2
5-(1.5).png,3
5-(1.4).png,3
5-(1.3).png,1
5-(1.2).png,1
5-(1.1).png,1
5-(1.0).png,2
5-(0.8).png,2
5-(0.7).png,2
5-(0.6).png,2
5-(0.5).png,2
5-(0.4).png,2
5-(0.3).png,2
5-(0.2).png,2
5-(0.1).png,2
5-(0.0).png,2
